sites,ya (SideEffect),yb (GreaterGood),na (SideEffect),nb (GreaterGood)
amity,11,12,34,35
aus2,27,19,49,50
bogota,18,12,24,19
help,12,10,15,22
isb,34,28,49,46
jos,20,32,22,38
metu,23,11,38,29
mturk_india,47,55,67,85
ulatina,45,35,60,58
