sites,ya,yb,na,nb
aus,18,2,28,24
bilgi,10,3,20,25
brasilia,19,4,29,24
doshisha,9,1,22,25
hunancomp,15,7,27,25
mturk_india,64,32,94,79
pscio,13,6,30,32
ucron,27,4,36,26
unam,36,5,48,46
