sites,ya,yb,na,nb
amity,25,29,36,40
aus2,15,17,33,45
bogota,22,20,29,30
cas,8,5,21,22
fmkbelgrade,16,18,34,37
help,21,12,27,25
isb,29,34,41,47
jos,15,17,16,17
kwazulu,16,10,24,24
metu,14,14,28,31
mturk_india,66,73,96,112
ouhk,9,5,18,17
tanzania,19,16,22,20
ulatina,36,25,48,39
