sites,ya,yb,na,nb
aus,29,4,49,40
bilgi,48,10,70,68
brasilia,35,9,51,51
cas,14,0,36,31
castab,16,4,32,34
doshisha,27,3,54,58
hkust,19,6,43,54
hunancomp,30,8,61,57
johannesburg,15,2,25,25
koc,29,6,37,37
mturk_india,117,54,162,146
ntnu,15,7,34,40
ntnutab,15,4,20,25
ouhktab,7,2,16,20
pscio,21,7,42,42
ucron,47,6,64,33
unam,56,9,73,66
unibelgrade,28,4,42,38
zhejiang,21,3,46,35
